user,text,date,helpful,source,year,wc,vader,sent,Login / OTP / Authentication,Bill Payment Flow,Web Redirect / Not Native,Rewards / MR Points,Offers / Amex Offers,Statement / Transactions / Balance,App Stability (crash/bug/slow),UI / UX / Design,Customer Service / Support,Card Controls / Servicing,Update / Version Regression,Notifications / Alerts,Onboarding / Registration / KYC,Feature Gaps vs Global App,Fees / Charges / Annual Fee
A Google user,Excellent app for Amex credit card users. Other credit card companies would take note on how to extend great user experience even outside of reward points/partnerships (especially HDFC/Diners Club who don't even have an app). I really love the newly added feature to track reward points and how many more spends are needed to reach the next milestone. Kudos!,2019-08-17,22,relevance,2019,59,0.9838,positive,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
A Google user,"very poor service, twice my payment got delayed irrepecte of the fact that i have made the payment on time... hve provided relevant proofs as well, but not getting anything in response... Dont know what are they doing with my statement.....",2019-02-23,22,relevance,2019,41,-0.2724,negative,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
Ritwik Nandi Mazumder,"Very poor user experience! I'm not able to get any benefit out of using this app! It's utterly unusable in most cases. Takes me to the browser for most things. Why even build an app in the first place then!? Oh, and the website is uttery horrible as well! Improve your app or you'll lose a customer!",2021-04-22,21,relevance,2021,57,-0.5805,negative,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
ranajit dwibedi,No body should opt for there card if you wish to use the card apart from metro cities. Since the card is not at all accepted visa and master card get accepted everywhere. One thing amex is known for is good customer service that has also worsen and rude. E.g Orissa not a single merchant accept their card neither 4 start hotels nor any merchants. Pathetic card,2021-10-31,20,relevance,2021,67,0.4559,positive,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Thrivikram Mudunuri,"The app is pretty barebones, I'd appreciate the following additions: • Display ongoing partner offers. • Securely store card details for when we're not carrying the card. • Submit standing instructions for bills (instead of needing to call CC). • List & unlink linked apps. • Set daily/monthly transaction limits (temporarily blocking the card doesn't serve the same purpose). • Toggle CNP, international, domestic, cash and contactless card transactions. • Tweak ezeClick & SafeKey settings.",2020-08-20,19,relevance,2020,75,0.6908,positive,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
Nitesh Kumar,"An app which delivers more than expectations. Truly innovative, easy to use and with all information available (Statement, Reward point credit and prompt customer service). I must say, I am in awe of such development. App developers at Amex are really the best. No any app and I repeat, no any app has impressed me this much in last 1 year. And, Amex services are, truly premium. The only card, for which annual fee makes sense, because Amex delivers more than that.",2021-02-17,19,relevance,2021,82,0.9686,positive,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True
theworldsaviour,"While I never had any issues with the service or customer interface, I am so very disappointed with the app version. In the agreement part, they clearly mention we will track you , your password and target you with specific ads to lure you for more purchases. Amex Team, Can you please not poke nose in my personal matters, I am ok to use my card wherever I'd like (legally), but don't want to be controlled. Will be uninstalling this app till this Terms & condition is revised.",2021-02-05,18,relevance,2021,88,0.5471,positive,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
A Google user,I like the clean and easy use of Amex Credit Card application than others which i use or have seen. The NFC feature is awesome however Bharat QR doesn't always work. Only thing to Amex India is if they can expand more with the vendors still I face many vendors who doesn't expect Amex card. Rest everything is great with this app.,2019-10-26,18,relevance,2019,62,0.941,positive,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
SHASHANK SHEKHAR,"Nice, intuitive and power packed, I like specially the feature to interact with always supporting customer care executives via chat whenever in question or confusions, rest offers are also amazing., overall a great product. What they can improve is billing Cycle which compel to pay from salary of same month, with bill date of 3rd of Next month and 20th being due date. Whereas in others, bill gets generated on 18th of next month, due date is 7th of next2next month for current month expenditures.",2020-12-22,17,relevance,2020,85,0.9633,positive,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False
A Google user,the app and the overall experience is nice but the i face problem logging into the app a lot of times. Regularly after few days the app crashes when you click it or it doesn't let you sign in. I have to uninstall and reinstall the app post which it works perfectly fine. I have to do this once or twice a month. This is very strange.,2019-06-18,17,relevance,2019,67,0.5734,positive,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
